TITLE,YEAR,COMMENT,LINK
A correlation study between automated program repair and test-suite metrics,2018,Does not detect equivalent mutants,https://link.springer.com/article/10.1007/s10664-017-9552-y
A Cost-effective and Machine-learning-based method to identify and cluster redundant mutants in software mutation testing,2024,Does not detect equivalent mutants,https://link.springer.com/article/10.1007/s11227-024-06107-8
A Fault Injection Based Approach to Assessment of Quality of Test Sets for BPEL Processes,2013,Does not detect equivalent mutants,https://link.springer.com/chapter/10.1007/978-3-642-54092-9_6
A Framework for Mutant Genetic Generation for WS-BPEL,2009,Does not detect equivalent mutants,https://link.springer.com/chapter/10.1007/978-3-540-95891-8_23
A machine learning approach for classification of equivalent mutants,2020,Selected,https://onlinelibrary.wiley.com/doi/full/10.1002/smr.2238
A Mutation-Guided Assessment of Acceleration Approaches for Continuous Integration: An Empirical Study of YourBase,2024,Does not detect equivalent mutants,https://ieeexplore.ieee.org/document/10555653/
A novel use of equivalent mutants for static anomaly detection in software artifacts,2017,Does not apply AI,https://www.sciencedirect.com/science/article/pii/S0950584916300180
A partial oracle for uniformity statistics,2019,Does not detect equivalent mutants,https://link.springer.com/article/10.1007/s11219-019-09459-0
A Preliminary Investigation into Using Machine Learning Algorithms to Identify Minimal and Equivalent Mutants,2020,Selected,https://ieeexplore.ieee.org/document/9155955/
An Empirical Evaluation of Manually Created Equivalent Mutants,2024,Does not apply AI,https://ieeexplore.ieee.org/iel8/10675728/10675737/10675745.pdf
An Evaluation of Internal Program Metrics as Predictors of Mutation Operator Score,2019,Does not detect equivalent mutants,https://dl.acm.org/doi/10.1145/3356317.3356323
An Evolutionary Algorithm and a Clustering Technique to Select Good Subsets of Test for Finite State Machines,2024,Does not detect equivalent mutants,https://link.springer.com/chapter/10.1007/978-3-031-70259-4_13
An Improved Crow Search Algorithm for Test Data Generation Using Search-Based Mutation Testing,2020,Does not detect equivalent mutants,https://link.springer.com/article/10.1007/s11063-020-10288-7
An Integrated Automatic Test Data Generation System,1991,Does not detect equivalent mutants,https://link.springer.com/article/10.1007/BF02262722
Angels and monsters: an empirical investigation of potential test effectiveness and efficiency improvement from strongly subsuming higher order mutation,2014,Does not detect equivalent mutants,https://dl.acm.org/doi/10.1145/2642937.2643008
Applying Many-objective Algorithms to the Variability Test of Software Product Lines,2020,Does not detect equivalent mutants,https://dl.acm.org/doi/10.1145/3425174.3425211
Applying the meta-heuristic algorithms for mutation-based test data generation for Simulink models,2014,Does not detect equivalent mutants,https://www.semanticscholar.org/paper/31a306bded9a62114540a777fb2d7d88d390e56d
Attacklets to Test Anomaly Detectors for Critical Infrastructure,2021,Does not detect equivalent mutants,https://link.springer.com/chapter/10.1007/978-3-030-81645-2_13
Augmenting Equivalent Mutant Dataset Using Symbolic Execution,2022,Selected,https://ieeexplore.ieee.org/document/9787929/
Automatic Classification of Equivalent Mutants in Mutation Testing of Android Applications,2022,Selected,https://www.mdpi.com/2073-8994/14/4/820
Automatic Equivalent Mutants Classification Using Abstract Syntax Tree Neural Networks,2021,Selected,https://ieeexplore.ieee.org/document/9440145/
Automatic Test Data Generation by Multi-objective Optimisation,2006,Does not detect equivalent mutants,https://link.springer.com/chapter/10.1007/11875567_32
Balancing Effectiveness and Flakiness of Non-Deterministic Machine Learning Tests,2023,Does not detect equivalent mutants,https://ieeexplore.ieee.org/document/10172715/
Bayesian-learning based guidelines to determine equivalent mutants,2002,Not available,https://www.worldscientific.com/doi/abs/10.1142/S021819400200113X?srsltid=AfmBOoo1eQw1kQf2hT5vtNk97bLbywmpDEYQm_tKN3SJ8yvpbJff0pvo
Can testedness be effectively measured?,2016,Does not detect equivalent mutants,https://dl.acm.org/doi/10.1145/2950290.2950324
Cerebro: Static Subsuming Mutant Selection,2023,Does not detect equivalent mutants,https://www.computer.org/csdl/journal/ts/2023/01/09677967/1A4SyVTjzhu
Chasing Mutants,2020,Does not detect equivalent mutants,https://link.springer.com/chapter/10.1007/978-3-030-29509-7_12
Deep Learning Based Automatic Classification of Mutants in Mutation Tests of Test Suite Generation,2022,Added via snowballing; discontinued from Scopus in 2022 due to quality concerns; not considered scientific in the Norwegian Scientific Index.,https://www.neuroquantology.com/media/article_pdfs/7465-7473.pdf
Deep learning library testing via effective model generation,2020,Does not detect equivalent mutants,https://dl.acm.org/doi/10.1145/3368089.3409761
